title,description,emotion,category,type,link,,
Using Role Models For Growth,Short article about learning from people you admire and turning admiration into motivation,admiration,emotional-insight,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Admiration And Positive Emotions,Overview of how positive emotions like admiration support resilience and connection,admiration,psychoeducation,article,https://www.verywellmind.com/how-to-cope-with-negative-emotions-3144603,,
Learning From People You Respect,Video that explores how looking up to others can support self improvement and mental health,admiration,self-help,video,https://www.youtube.com/%40Psych2go/videos,,
Gratitude And Admiration Practice,Video that encourages gratitude and appreciation which often accompany admiration,admiration,wellbeing,video,https://www.youtube.com/watch?v=6fg0e67TLpc,,
Why Humor Helps Your Mind,Article on how humor reduces stress and improves mood,amusement,psychoeducation,article,https://www.apa.org/monitor/2019/05/humor-health,,
Laughter As A Coping Skill,Article explaining how laughter can act as a simple stress management tool,amusement,coping-skills,article,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/stress-relief/art-20044456,,
The Psychology Of Happiness,TED playlist that gathers talks on happiness joy and what really makes us feel amused and alive,amusement,emotional-insight,video,https://www.ted.com/playlists/4/what_makes_you_happy,,
Why Laughter Feels So Good,Video that explains how laughter shifts mood and calms the nervous system,amusement,wellbeing,video,https://www.youtube.com/watch?v=G7Pf2Xb5PdA,,
Anger Management Basics,Guide with practical anger management strategies you can apply in daily life,anger,coping-skills,article,https://www.verywellmind.com/anger-management-strategies-4178870,,
What Is Anger,Overview of what anger is and how it affects body and mind,anger,psychoeducation,article,https://www.verywellmind.com/what-is-anger-5120208,,
Breathing Exercises When Angry,Page that teaches simple breathing exercises to calm strong emotions,anger,relaxation,article,https://www.headspace.com/meditation/breathing-exercises,,
Exercise To Release Anger,Article showing how movement like walking or yoga can help release anger safely,anger,body-based,article,https://www.verywellfit.com/the-best-exercises-for-when-you-re-feeling-angry-5120367,,
Coping With Everyday Irritations,Article with ideas to manage stress and day to day annoyance,annoyance,coping-skills,article,https://www.apa.org/monitor/2015/12/pc,,
Healthy Coping For Mild Anger,List of healthy coping skills for uncomfortable emotions including irritation,annoyance,emotional-regulation,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Box Breathing For Frustration,Video teaching box breathing technique to calm the nervous system when annoyed,annoyance,relaxation,video,https://www.youtube.com/watch?v=a7uQXDkxEtM,,
Five Cleansing Breaths,Short guided breathing practice that can help release tension and annoyance,annoyance,relaxation,video,https://www.youtube.com/watch?v=KBNplT1bBp0,,
Seeking Healthy Approval,Article that explains how to balance self worth with the desire for approval,approval,self-esteem,article,https://www.verywellmind.com/ways-to-stop-self-hatred-4164280,,
Positive Thinking And Self Worth,Overview of how positive thinking supports confidence and lessens the need for external approval,approval,wellbeing,article,https://www.verywellmind.com/what-is-positive-thinking-2794772,,
Science Of Happiness And Approval,Talk about how our minds predict happiness and why external approval is not everything,approval,emotional-insight,video,https://www.ted.com/talks/dan_gilbert_the_surprising_science_of_happiness,,
Gratitude As Inner Validation,Video explaining how gratitude shifts focus from seeking approval to appreciating life,approval,wellbeing,video,https://www.youtube.com/watch?v=LG0COiQBjXA,,
Understanding Caring And Empathy,Article on emotional empathy and why caring for others can feel heavy at times,caring,psychoeducation,article,https://www.samhsa.gov/,,
Caring For Others Without Burning Out,Article with tips for setting boundaries while still caring deeply,caring,boundaries,article,https://www.verywellmind.com/forty-healthy-coping-skills-4586742,,
Breathing Space For Caregivers,Guided breathing page that can help caregivers pause and reset,caring,relaxation,article,https://www.headspace.com/meditation/breathing-exercises,,
Small Habits To Protect Your Mental Health,Article with gentle habits to care for yourself as you care for others,caring,self-care,article,https://medium.com/mindful-mental-health/8-ways-to-improve-your-mental-health-7cf1df1204b6,,
What To Do When You Feel Confused,Article about feeling lost and how to gently move through confusion,confusion,emotional-insight,article,https://www.verywellmind.com/feeling-lost-7096808,,
